0,1,2,3,4,5
Algeria,Senegal,2021.0,0.183414825,USD	millions,BCEAO
Australia,Ethiopia,2020.0,13.59617511,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024.0,"184,497.099695719",USD	millions,Central	Bank	of	Kenya
,Uganda,2022.0,22,USD	millions,Bank	of	Uganda
Austria,Kenya,2024.0,"13,169.065145833",USD	millions,Central	Bank	of	Kenya
Bahamas,Kenya,2024.0,"1,453.632639905",USD	millions,Central	Bank	of	Kenya
Bahrain,Kenya,2024.0,"5,004.769090469",USD	millions,Central	Bank	of	Kenya
,Morocco,2020.0,30.3408085,USD	millions,Bank	Al-Maghrib
Belgium,Kenya,2024.0,"22,844.654997935",USD	millions,Central	Bank	of	Kenya
,Morocco,2020.0,387.629403,USD	millions,Bank	Al-Maghrib
,Senegal,2021.0,88.247787762,USD	millions,BCEAO
Benin,Senegal,2021.0,25.846190336,USD	millions,BCEAO
Brazil,Senegal,2021.0,29.312422216,USD	millions,BCEAO
Burkina	Faso,Senegal,2021.0,35.216150094,USD	millions,BCEAO
Cameroon,Senegal,2021.0,43.126214245,USD	millions,BCEAO
Canada,Ethiopia,2020.0,33.89159808,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024.0,"130,812.76972775",USD	millions,Central	Bank	of	Kenya
,Morocco,2020.0,99.802037,USD	millions,Bank	Al-Maghrib
,Senegal,2021.0,2.866648143,USD	millions,BCEAO
,Uganda,2022.0,82.1,USD	millions,Bank	of	Uganda
Central	African	Republic,Senegal,2021.0,11.097456712,USD	millions,BCEAO
Chad,Senegal,2021.0,8.390086853,USD	millions,BCEAO
China,Kenya,2024.0,"5,981.681937719",USD	millions,Central	Bank	of	Kenya
,Senegal,2021.0,0.358772173,USD	millions,BCEAO
,Uganda,2022.0,7,USD	millions,Bank	of	Uganda
"Congo,	Dem.	Rep.",Uganda,2022.0,21,USD	millions,Bank	of	Uganda
"Congo,	Rep.",Senegal,2021.0,61.407592705,USD	millions,BCEAO
Côte	d'Ivoire,Kenya,2024.0,"4,351.233359615",USD	millions,Central	Bank	of	Kenya
,Senegal,2021.0,89.989410749,USD	millions,BCEAO
Denmark,Morocco,2020.0,28.261131,USD	millions,Bank	Al-Maghrib
,Senegal,2021.0,5.476232008,USD	millions,BCEAO
Djibouti,Ethiopia,2020.0,185.47649889,USD	millions,National	Bank	of	Ethiopia
Egypt,Kenya,2024.0,"2,710.849916951",USD	millions,Central	Bank	of	Kenya
Equatorial	Guinea,Senegal,2021.0,4.981180446,USD	millions,BCEAO
France,Kenya,2024.0,"25,420.562300568",USD	millions,Central	Bank	of	Kenya
,Morocco,2020.0,"2,740.1718325",USD	millions,Bank	Al-Maghrib
,Senegal,2021.0,"1,630.192958418",USD	millions,BCEAO
Gabon,Senegal,2021.0,110.182458279,USD	millions,BCEAO
Germany,Ethiopia,2020.0,61.4673327,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024.0,"197,764.185703727",USD	millions,Central	Bank	of	Kenya
,Morocco,2020.0,349.588167,USD	millions,Bank	Al-Maghrib
,Senegal,2021.0,81.314844041,USD	millions,BCEAO
,Uganda,2022.0,27.9,USD	millions,Bank	of	Uganda
Greece,Senegal,2021.0,7.552688969,USD	millions,BCEAO
Guinea-Bissau,Senegal,2021.0,20.567153363,USD	millions,BCEAO
India,Kenya,2024.0,"20,594.869099147",USD	millions,Central	Bank	of	Kenya
,Senegal,2021.0,0.067644659,USD	millions,BCEAO
Iraq,Kenya,2024.0,"18,473.974825301",USD	millions,Central	Bank	of	Kenya
Israel,Ethiopia,2020.0,16.12958144,USD	millions,National	Bank	of	Ethiopia
Italy,Ethiopia,2020.0,40.64448902,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024.0,"33,857.169027017",USD	millions,Central	Bank	of	Kenya
,Morocco,2020.0,696.568306,USD	millions,Bank	Al-Maghrib
,Senegal,2021.0,966.610341655,USD	millions,BCEAO
,Uganda,2022.0,10.4,USD	millions,Bank	of	Uganda
Japan,Kenya,2024.0,"6,019.671359217",USD	millions,Central	Bank	of	Kenya
,Uganda,2022.0,10.7,USD	millions,Bank	of	Uganda
